code,nom,groupe,energie_kj,energie_kcal,proteines,glucides,lipides,sucres,ag_satures,sel
24999,Dessert (aliment moyen),,1070,255,4.41,32.9,11.3,21.3,4.96,0.33
8406,"Salade de museau de porc, avec sauce, préemballée",entrées et plats composés,712,172,8.51,0.89,14.8,0.64,3.59,1.58
8407,"Salade de cervelas, avec sauce, préemballée",entrées et plats composés,1070,259,7.6,1.93,24.2,1.29,6.23,1.75
25600,"Salade de céleri rémoulade, préemballée",entrées et plats composés,469,114,0.94,3.14,10.2,1.8,0.94,1.17
25601,"Salade de thon et légumes, appertisée",entrées et plats composés,489,117,9.15,8.13,4.7,3.63,0.56,1.11
25602,"Salade composée avec viande ou poisson, appertisée",entrées et plats composés,458,110,8.06,6.4,5.3,1.9,0.3,0.95
25605,"Champignons à la grecque, préemballés",entrées et plats composés,316,76.3,2.07,3.53,5.47,2.33,0.4,1.17
25606,"Salade de pommes de terre, faite maison",entrées et plats composés,528,127,2.68,9.9,8.2,,1.43,1.32
25608,"Taboulé ou salade de semoule aux légumes, préemballé",entrées et plats composés,753,179,4.88,23.7,6.7,4.9,0.67,1
25609,"Salade de pomme de terre à la piémontaise, préemballée",entrées et plats composés,541,130,4.5,8.87,8.3,1.2,0.82,1.08
25610,"Salade de museau de boeuf, avec sauce, préemballée",entrées et plats composés,494,118,11.7,0.8,7.6,0.6,1.1,2.04
25614,"Salade de riz, appertisée",entrées et plats composés,535,127,5.13,16.1,4.35,1,0.53,1.1
25615,"Salade de pâtes au fromage et légumes, avec sauce",entrées et plats composés,499,119,4.4,13.7,4.8,2.1,1.4,0.74
25619,"Salade de pâtes aux légumes et poisson ou viande, avec sauce, préemballée",entrées et plats composés,668,160,6.24,14.2,8.24,1.59,1.59,0.89
25626,"Macédoine de légumes en salade, avec sauce, préemballée",entrées et plats composés,534,129,2.5,3.47,10.7,1.56,0.78,0.99
25628,"Salade César au poulet (salade verte, fromage, croûtons, sauce), préemballée",entrées et plats composés,629,151,8.13,4.88,10,1.71,2.36,0.75
25629,"Salade végétarienne à base de boulgour et/ou quinoa et légumes, préemballée",entrées et plats composés,704,168,3.79,17.4,8.3,4.61,0.92,0.77
25642,"Salade de céleri et carotte rémoulade, préemballée",entrées et plats composés,330,79.6,1,5.43,5.33,3.63,0.36,0.83
25664,"Salade de pomme de terre au thon, préemballée",entrées et plats composés,518,124,5.57,8.13,7.7,0.73,1,0.86
25665,"Salade de pomme de terre à la saucisse, préemballée",entrées et plats composés,648,156,3.08,8.75,11.6,0.9,2.13,1.28
25666,"Salade composée à base de crudités, charcuterie et fromage, avec sauce, préemballée",entrées et plats composés,634,153,7.45,4.96,10.9,2.63,3.29,0.86
25667,"Salade composée à base de crudités et produits de la mer, avec sauce, préemballée",entrées et plats composés,500,120,4.78,7.58,7.5,2.5,0.68,0.7
25668,"Salade composée à base de crudités, oeuf et produits de la mer, avec sauce, préemballée",entrées et plats composés,448,108,4.76,3.77,7.57,2.04,1,0.53
25669,"Salade composée à base de crudités, poulet et fromage, avec sauce, préemballée",entrées et plats composés,623,150,7.13,5.28,10.8,1.69,2.44,0.64
25670,"Salade composée à base de crudités et poulet, avec sauce, préemballée",entrées et plats composés,366,88,4.13,4.28,5.35,2.85,0.75,0.41
26257,"Salade de carottes râpées, avec sauce, préemballée",entrées et plats composés,308,74.2,0.84,5.67,4.77,4.73,0.43,0.71
26258,"Salade de betterave, avec sauce, préemballée",entrées et plats composés,248,59.4,1.44,5.11,3,4.96,0.32,0.8
26259,"Salade de chou et carotte ou coleslaw, avec sauce, préemballée",entrées et plats composés,435,105,0.94,5.78,8.1,4.72,0.63,0.88
26260,"Salade de concombre à la crème/fromage blanc, préemballée",entrées et plats composés,321,77.9,1.06,0.58,7.5,0.58,1,0.99
26261,"Salade de lentilles et saucisse fumée, préemballée",entrées et plats composés,736,177,7,8.9,11.8,0.9,0.9,0.89
26262,"Salade grecque, avec sauce, préemballée",entrées et plats composés,337,81.5,2,1.4,7.1,1.4,2.7,1.04
26263,"Salade de riz au thon et légumes, avec sauce, préemballée",entrées et plats composés,606,145,5.08,16.8,5.98,1.54,0.76,0.76
26269,"Taboulé ou salade de semoule au poulet, préemballé",entrées et plats composés,737,176,5.9,20.1,7.45,2.63,0.88,0.99
26276,"Salade de pâtes au surimi, avec sauce, préemballée",entrées et plats composés,864,208,4.19,14.1,14.5,1.07,1.21,1
26277,"Salade Alaska au surimi, ananas, carottes, avec sauce, préemballée",entrées et plats composés,705,170,3.81,7.12,13.4,3.36,1.03,1.38
26278,"Salade de pâtes au poulet, fromage et crudités, avec sauce, préemballée",entrées et plats composés,731,175,8.19,12.4,9.5,1.46,1.87,0.87
